"","gene_short_name","value_1","value_2"
"1","CG46301",0.412763,317.166
"2","swi2",4.90096,2648.23
"3","CG7059",1.37841,103.57
"4","CG9109",0.134266,6.86136
"5",NA,1.45453,72.4171
"6","Cp16",14.3426,549.685
"7","CR43196",4578.64,146453
"8","Femcoat",2.25341,71.28
"9","CG8646",1.12273,28.329
"10","CG11905",0.19734,4.71605
"11","CCAP-R",0.0525107,1.22262
"12","Cyp4e1",2.98515,67.9776
"13","Cp19",25.7403,583.872
"14","CG30008",629.734,12873.4
"15","CG15358",24.6427,494.937
"16","Yp2",296.275,5864.04
"17","CG32642",0.20714,4.09622
"18","CG6432,Dis3",233.336,4401.85
"19","Dys,snoRNA:Me18S-A1374",10.7833,195.585
"20","CG32368",60.0627,1072.55
"21","tRNA:Glu-CTC-1-1,tRNA:Glu-TTC-1-2",31.9793,542.641
"22",NA,3.91262,63.9891
"23",NA,3.32072,52.9656
"24","FASN3",68.8078,1070.12
"25","Cp18",51.7249,800.203
"26","CG12688",0.149882,2.29763
"27","CG14187",1.82399,27.0422
"28","CG7567",0.388289,5.74357
"29","CG32198",0.481096,7.1135
"30","CG18609",92.2213,1319.47
"31","CG9458",645.03,9203.93
"32",NA,1.28223,18.0832
"33","CG13085,CG16771,Lectin-galC1,Pax,lectin-37Da,lectin-37Db",177.699,2414.57
"34",NA,0.621398,8.41751
"35",NA,2.23728,29.2001
"36","Obp99a",12.2915,157.047
"37","TbCMF46",3.19191,38.9916
"38","Obp56g",1.01906,12.1444
"39","CG3088",2.30729,27.0788
"40","Vm34Ca",66.9157,779.217
"41","CG10035",0.175593,2.02456
"42","CG6602",3.81489,42.8053
"43","Jon25Bi",1.09379,12.156
"44","CG4592",38.3796,401.633
"45","Lsp1beta",0.511646,5.28365
"46","CG15531",578.833,5950.92
"47","CG13114",1.09612,11.14
"48","CG10581",25.1237,250.953
"49","CG13618",3.79811,37.3639
"50","Jon99Cii",20.1983,196.457
"51","Vm26Ac",1.48937,14.3644
"52","CG7365",4.42833,42.5787
"53","CG15646",1.41467,13.5005
"54","CG11899",145.969,1380.25
"55","Mt2",4.81569,45.5005
"56",NA,3.86897,36.3119
"57","CG16704",8.85454,81.8474
"58","CG3663",64.926,590.629
"59","Fcp3C",1.00192,9.06229
"60","CG4393",3.72217,33.409
"61","CG16799,rig",73.5884,655.552
"62","CG17562",108.507,946.48
"63","CG12851",0.704991,6.10894
"64","CG6746",376.406,3256.64
"65","CG17239",0.748002,6.4457
"66","CG17646",104.07,879.672
"67","psd",0.683607,5.75293
"68","LysD",6.45446,53.753
"69",NA,2.86383,23.6497
"70","CG15570",0.398283,3.28249
"71","CG2991",24.2935,200.108
"72","CG7910,CR44330",823.04,6750.99
"73","Dbi",1910.05,15574
"74","Arpc3A",47.2817,376.944
"75","CG34203",3.61475,28.7369
"76","Vm26Ab",51.5514,408.752
"77","Mgstl",432.492,3410.46
"78","CR44431",1558.21,12187.4
"79","CG43351",17.7677,138.736
"80","CG14645",190.618,1485.93
"81","CG4020",356.914,2755.69
"82",NA,1.76116,13.5866
"83","CG15254",0.835027,6.38214
"84","CG13023",0.200519,1.52853
"85","CG34291",4.67005,35.5919
"86","Jon99Ciii",13.1618,100.136
"87","CG8343",8.86719,67.4359
"88","CG11885",167.056,1261.96
"89","Drsl4",9.10731,68.1247
"90","poly",55.23,412.913
"91","CG7900",6.20472,46.1389
"92","CR12628",228.187,1667.9
"93","Cp36",16.384,119.751
"94","CG5973",100.465,729.456
"95","CG34172",20.4329,146.096
"96","CG10672",163.403,1168.12
"97","CG12541",3.49896,24.9309
"98","Cpr62Bc",0.676869,4.7103
"99","CG7214",0.362741,2.52277
"100","Cpr47Ef",0.373393,2.58746
"101","Peritrophin-15b",3.86569,26.7284
"102","Jon74E",26.8159,184.712
"103","Cisd2",551.047,3779.15
"104","ND-MLRQ,mir-4942",716.304,4900.49
"105","CG15068",137.663,939.923
"106","CG10399",12.7046,86.724
"107","CG34377",0.108402,0.737589
"108","CG10479",62.8995,427.385
"109","Cpr62Bb",1.60245,10.858
"110","CR44553",0.743031,5.03058
"111","CG18404",7.91374,52.9353
"112","CG43114",17.1333,113.622
"113","CG13102",3.72475,24.6268
"114","CG8534,eloF",724.012,4775.98
"115","Ag5r2",4.40945,29.0005
"116","CG17597",243.912,1603.43
"117","Adgf-A,Adgf-A2",18.8876,123.64
"118","CG17192",1.7846,11.6721
"119","Gnmt",20.969,136.623
"120","Cp38",8.86365,57.628
"121","Cyp12e1",4.54958,29.539
"122","CG9286",12.3875,80.4058
"123","CG16713,CG43165,CR43364",67.5715,437.64
"124","Toll-7",0.79123,5.06694
"125",NA,4.13386,26.4676
"126","CG13306",7.13309,45.1352
"127","CR45401",125.91,795.551
"128","CG13091",287.921,1804.38
"129","CG13083",1.58446,9.88222
"130","snz,spidey",913.164,5683.15
"131","CG46307,Nhe2",5.75719,35.6187
"132","SLIRP2",35.4599,218.355
"133","CG14277",2.15637,13.2537
"134",NA,1.05695,6.45062
"135","CG12321",709.729,4325.31
"136","CG16904",278.194,1692.58
"137","CR45943,CSN3",137.052,823.362
"138","18SrRNA-Psi:CR41602",0.20025,1.19725
"139","RFeSP",212.909,1271.55
"140","Srp19",164.201,977.401
"141","CG15126",12.0841,71.9048
"142","PPO2",0.593006,3.52588
"143",NA,0.896725,5.31193
"144","Trs33",34.6834,205.224
"145","CG15711",2.73138,16.1136
"146","Obp19a",1.14977,6.77383
"147","Prosalpha2",1152.62,6745.11
"148","CG42704",12.8428,74.6522
"149","Fad2",1289.39,7493.12
"150","CG8299",1.59031,9.23237
"151","CG43630",1155.87,6604.2
"152","PGRP-LC",46.1428,261.449
"153",NA,1.96343,11.1153
"154","Prosbeta3",794.423,4481.48
"155",NA,1.13862,6.42263
"156","Obp83a",2.12244,11.9486
"157","CG15515",4.00756,22.5296
"158","CG15027",78.8432,440.654
"159","rdo",0.0993832,0.553348
"160","IM33",256.803,1428.3
"161","CG43112",4.9125,27.2353
"162","CG12057",5.05019,27.9561
"163","CG8993",263.789,1442.25
"164","mRpL41",45.7877,249.779
"165","Alp2",1.27841,6.97342
"166","CG7484",156.189,851.509
"167","Jon25Bii",0.485459,2.64161
"168","CG3906",16.7115,90.6542
"169",NA,3.85238,20.7905
"170","CR44807",24.6536,131.933
"171","Obp83b",2.13662,11.4281
"172","CG6660",148.907,795.619
"173","CG16820",0.489415,2.60725
"174","CG31265,CG31269",1.61411,8.58803
"175","Sc2",652.903,3454.88
"176","LysX",11.6318,61.4809
"177","PGRP-SC1b",0.618237,3.26557
"178","CG17571",33.2504,175.445
"179","Yp1",358.319,1889.46
"180","CG13428",16.5621,87.133
"181","CG31922",26.9851,141.565
"182",NA,3.24164,16.9418
"183",NA,1.24404,6.48927
"184","CG4678",3.30702,17.2405
"185",NA,1.6352,8.51315
"186","CG34166",44.6335,232.353
"187","28SrRNA-Psi:CR45851",5.69204,29.5568
"188","CG10014",0.844156,4.38298
"189","28SrRNA-Psi:CR40741",0.315096,1.63525
"190","CG12056",110.9,574.585
"191","Obp19b",1.23577,6.39013
"192","Adgf-D,CG31469",11.0251,56.9458
"193","CG14893",6.07166,31.3314
"194",NA,1.00537,5.18676
"195","CR43637,FarO",214.439,1104.97
"196","CG40198",0.447141,2.30241
"197","28SrRNA-Psi:CR40596",63.5337,326.102
"198","CG8320",97.3124,499.444
"199","CG9067",44.9182,230.24
"200","CG5919",73.6199,376.008
"201","CG6836",4.16903,21.1432
"202",NA,5.81566,29.4528
"203","CG34327",0.499976,2.52913
"204","Prosbeta4",1298.61,6552.58
"205","CG11137",181.081,912.582
"206",NA,1.48012,7.44802
"207","CG8560",3.82876,19.2613
"208","UK114",199.724,1004.2
"209","CR43765",5.56109,27.9288
"210","betaTry",188.348,945.743
"211","etaTry",4.90547,24.4482
"212","ND-B12",630.442,3132.28
"213",NA,1.12318,5.53954
"214","UQCR-C2",198.871,980.552
"215","CG3344",5.09307,25.0313
"216","Peritrophin-15a",17.9045,87.9003
"217",NA,1.40275,6.86069
"218","Cpr65Au",10.9891,53.7468
"219","Prosbeta2",711.841,3466.71
"220","Fdh",220.894,1070.33
"221","yellow-g2",2.70151,13.0756
"222","CG34461",1.25468,6.06727
"223","Tom7",1167.07,5638.98
"224","Cpr72Ec",2.56179,12.3413
"225","CG14834",1.22669,5.89198
"226","UQCR-14",464.197,2226.72
"227","Send1",0.599766,2.87384
"228","CG6503",111.917,534.036
"229","CG11353",0.455236,2.1696
"230","CG32379",0.678242,3.22879
"231","CG6950",113.175,538.748
"232","CG31287",4.0712,19.3485
"233","Cp7Fb",16.1607,76.7735
"234",NA,1.16528,5.53042
"235","MESK4",3.21599,15.2589
"236","CG13992",0.277675,1.31631
"237","CG7542",7.66937,36.3196
"238","CG13067",1.09545,5.17744
"239","ND-30",159.935,755.78
"240","Sobp",3.38422,15.9785
"241","Cda9",1.49385,7.04405
"242","mRpL2",29.2312,137.278
"243","CG10943",5.40652,25.2779
"244","Sod1",3128.22,14573.1
"245","CG11781",138.211,643.857
"246","Obp28a",3.78943,17.5157
"247","CR31084",2.28669,10.5498
"248","CG15142",13.1005,60.345
"249",NA,1.81065,8.32782
"250","fj",0.571516,2.61958
"251","CG1979,CG1988,Sodh-1",5.10045,23.3497
"252","ND-B15",177.457,807.679
"253","Cht9",1.72348,7.83023
"254","Rpn12",390.294,1772.74
"255","CG41128",238.898,1084.95
"256","CG43965",64.6694,293.645
"257","Cpr100A",0.339689,1.53645
"258","Cyp4d20",12.2263,55.0772
"259","kappaTry",5.04459,22.6822
"260",NA,2.11375,9.46423
"261","betaTub97EF",180.666,807.276
"262","Jon25Biii",13.3958,59.8504
"263","Orct2",12.8467,57.3376
"264","CG3420",143.718,640.361
"265","Orc6,Prosalpha7",1592.61,7087.79
"266","CG11752",286.635,1274.58
"267","CG8417",39.4522,174.45
"268","CG9577",74.7399,328.101
"269",NA,2.27321,9.97324
"270","CG31086,CG31323",37.9356,165.743
"271","Prosbeta1",788.355,3437.27
"272","CG13623",39.5671,171.913
"273","CG16836",7.8312,33.9907
"274","Ufm1",185.604,805.107
"275","CG9672",4.38973,19.0244
"276","CG13284,CG31810",239.729,1038.46
"277","Jon66Ci",1.83913,7.95313
"278","CG5804",103.754,448.455
"279","CG13084",0.493307,2.13213
"280","CR45827,SCOT",117.94,509.401
"281","Taldo",379.198,1636.34
"282","CG14820",0.575735,2.48395
"283","CG15818",0.848046,3.64361
"284","CG4908,Prosalpha6",401.496,1723.35
"285","CR31044",7.86576,33.7149
"286","CG33127",5.61245,24.021
"287","CG16749",10.918,46.6545
"288","CG1504",0.407768,1.73414
"289","Prosbeta7",4284.41,18214.2
"290","ssp7",66.2917,281.513
"291","CG15270",0.727686,3.08575
"292",NA,1.27003,5.37226
"293","UQCR-6.4",836.636,3537.23
"294","CG7298",1.58222,6.68247
"295",NA,1.54278,6.49958
"296","Srp72",25.0223,105.296
"297","CG42260",1.02318,4.2993
