"","tracking_id","H20Y_0","H20Y_1","H20Y_2","H2OO_0","H2OO_1","H2OO_2","PQO_0","PQO_1","PQO_2","PQY_0","PQY_1","PQY_2"
"1","XLOC_000001",0.444042,0.245464,0.338841,0.114338,0.102104,0.156248,0.0690471,0.133078,0.0142803,0.413359,0.309833,0.156273
"2","XLOC_000002",0.905813,1.86424,4.40985,2.05248,2.88024,3.40585,2.21334,2.93182,1.79442,2.22614,4.03233,2.92215
"3","XLOC_000003",0,0,0.0480907,0,0.372635,0.316797,0.363987,0.171703,0,0.281601,0.131921,0.0739312
"4","XLOC_000004",0.767815,1.88551,0,0.724925,0.347686,0.636435,0.844278,0.690335,0.52781,0.157247,0.883984,0.619253
"5","XLOC_000005",46.3317,37.5396,43.9137,17.9905,20.5834,21.5743,23.3114,16.7598,22.593,39.1893,27.0291,22.023
"6","XLOC_000006",7.74861,5.03569,5.82989,8.148,10.3266,8.04572,8.52828,10.019,6.81253,6.17699,7.98415,6.45203
"7","XLOC_000007",2.14996,0.446952,0.701812,0.413491,0.345273,0.176121,0.486433,0.501151,2.07042,1.56554,1.37514,0.282573
"8","XLOC_000008",0.741388,0.346783,2.1781,0.699973,0.267892,0.409949,0,2.88849,1.96704,0,1.99164,1.19588
"9","XLOC_000009",0.549238,0.17127,1.79288,0.749027,1.36717,1.34978,0.0894716,0.804734,0.302239,0.899864,1.17099,0.866247
"10","XLOC_000010",159.863,193.69,148.214,112.486,139.786,132.524,156.888,168.579,144.258,159.611,152.997,170.329
"11","XLOC_000011",2.35664,0.551157,1.17928,0.427884,1.14631,1.80429,0.68659,0.407467,0.849709,1.11377,0.626122,0.409372
"12","XLOC_000012",5.61723,5.05138,10.3542,5.44125,6.40112,5.56013,4.17749,4.25903,4.70856,11.7016,10.4013,8.93478
"13","XLOC_000013",0.531482,0.0938387,0.393865,0.183862,0.208412,0.221864,0.164035,0.180374,0.4113,0.68129,0.626137,0.34088
"14","XLOC_000014",0.203465,0,0.0683147,0,0,0,0.0596605,0,0.172745,0,0,0.131278
"15","XLOC_000015",150.701,169.89,153.618,139.694,147.037,158.313,173.158,197.457,172.349,138.46,154.289,171.627
"16","XLOC_000016",7.14588,7.74082,5.71505,8.95895,7.09508,6.41796,5.09025,6.84012,5.01844,8.4103,5.53886,5.64658
"17","XLOC_000017",3.63084,2.56775,4.72157,9.02298,9.23381,7.49479,7.08872,7.39041,5.13619,4.73381,6.36886,5.54909
"18","XLOC_000018",0,0,0,0,0.71756,0,0,0,0,0,0,0
"19","XLOC_000019",1.15788,0.309485,0.416536,1.09321,0,1.46343,0.889213,0.495735,0.468125,0,1.52351,0.533647
"20","XLOC_000020",1.24143,0,0.148864,0.167441,0.640824,0,0.606692,0.318902,0,2.03394,0.680599,0.114426
"21","XLOC_000021",0.818087,0.33764,0.282757,0.386194,0.38255,0.505579,0.31749,0.432667,1.42148,1.30092,0.923395,0.357067
"22","XLOC_000022",24.5341,31.2294,32.1398,37.3579,40.647,38.4063,31.4859,29.853,31.2538,34.2645,37.5558,39.5224
"23","XLOC_000023",5.6481,5.66576,6.95556,2.92308,3.68518,2.87002,4.74055,4.06769,2.80253,5.14709,2.86554,3.40765
"24","XLOC_000024",6.73053,5.65337,1.34189,7.69707,6.67014,6.08923,3.25878,8.11319,3.92726,2.64417,5.66527,3.4355
"25","XLOC_000025",0.408243,0.275959,0.378551,0.516223,0.390479,0.245654,0.282331,0.194317,0.398862,0.46902,0.266209,0.355337
"26","XLOC_000026",9.61782,6.05307,11.3759,13.6693,14.1614,15.3788,14.3447,13.6675,11.9248,9.15693,14.0789,10.1007
"27","XLOC_000027",8.05368,5.07282,6.59433,8.26461,10.7039,9.91555,8.12254,9.39353,8.30023,7.09879,9.75035,8.02079
"28","XLOC_000028",3.69426,1.88044,1.48205,1.20536,1.47228,1.06817,1.73901,1.93752,1.88342,1.24612,2.25168,1.29693
"29","XLOC_000029",130.406,111.256,115.357,97.4034,139.615,150.261,111.357,96.0789,98.6577,103.614,116.764,113.326
"30","XLOC_000030",0,0,0,0,0,0,0,0,0,0,0,0
"31","XLOC_000031",0,0,0,0,0,0,0,0,0,0,0,0
"32","XLOC_000032",0.133519,0.249823,0,0.12606,0.466401,0.0246009,0.315396,0.0133285,0.370013,0.200532,0.358699,0.0287076
"33","XLOC_000033",0.932688,0,0,1.17412,0,0,0,0,0,0,0.238628,0
